Gene Symbol	Output	NSG	WT	IO
1500002F19Rik	-0.09219324579532265	0.3031089404864117	0.13213076175302424	0.5994435682160575
A1cf	-0.21650270740554403	0.17882734757863217	0.0948115942645655	0.31625566135038413
A730035I17Rik	0.22237468409199587	0.06797325154502751	-0.07502210242128211	-0.09368967541078521
Abraxas1	-0.27105526119703743	0.3651477579429236	-0.11852662835333629	-0.07323396197745975
Abraxas2	0.28264498526589377	0.1793744976107741	0.012204497752843638	0.1848996482783175
Actl6a	-0.05609355170865101	-0.1238931990652022	0.010792284669197164	0.32562046848590437
Actl6b	-0.03816577110164852	0.2633552991461176	0.061538965624532406	0.02610085612879534
Actr3b	0.21140709621516104	0.15804286194410744	0.3125288584331016	0.24270106965922464
Actr5	-0.4275125779524325	0.4328781411550766	-0.15423235791013765	-0.14722338369945587
Actr6	0.41816081714593323	-0.8738270480153685	0.8204972091377355	1.0225604167856879
Actr8	-0.07664655109687606	-0.27350739422812503	0.28118098377734563	-0.17889065879356292
Adar	-0.017819970698886967	-0.5874203570475828	-1.2855595845159775	-1.392730195939749
Adnp	-0.6178109983133024	0.08804607553479156	-0.709032292343765	-1.2255180302079385
Aebp2	0.2122357935619585	-0.22964005358709727	0.027262947566259844	-0.12958762600106188
Aicda	0.04639941979530602	0.10839215684672454	0.2534918313535932	0.2270733808280052
Aire	0.01786336732253166	-0.12078748190902566	0.41671513036369673	0.37431554413626933
Alkbh1	-0.23304674208435439	-0.14431106301445853	0.08506663139111309	0.24324450308343992
Anp32a	0.11523914335248558	-0.18650437721955201	0.2699637857199803	0.3972473986432204
Anp32b	0.1811953987966766	-0.04843665874414083	0.6678338491089201	1.2122773458529534
Anp32e	0.10641971857882669	-0.100791143840248	0.3251639383025084	0.29780475039337023
Apbb1	-0.06881675496046363	0.11922217553668328	0.14257657892516423	0.18016728052726264
Apex1	-1.3495693314780528	-0.2719607939282331	0.38208853406093807	-0.009344145639326026
Apobec1	0.1951013488528668	-0.07180152229083597	0.021675118433418267	-0.20989269646748696
Apobec2	0.13974692918182574	-0.1012701271666707	0.10776171844956355	0.34054462480368386
Apobec3	-0.14299658672104232	0.3646082116752369	-0.05651806829204493	0.04832330056562755
Arid1a	-0.09504599552457527	-0.8053513841683495	0.4423742738540086	0.4872079970273555
Arid1b	0.15029201421121388	0.03508010196833141	0.2964709953773079	0.3283050188680414
Arid2	-0.07962397540879108	0.5040523235696266	-0.05264940939257049	0.7522324509655833
Arid3a	0.01533099229511548	0.07735919516879985	0.09530865499702423	0.11711672959762305
Arid3b	0.028299569174196907	-0.07934550752372502	0.07735825224598888	0.2414793393785498
Arid3c	0.024722399136618417	0.08128105483983886	0.27605908672008445	0.29185881710923084
Arid4a	0.05995490808713094	0.07311408740762491	-0.17334148583721554	0.0037406954678398385
Arid4b	0.25156894678196867	0.2586558767486949	-0.14752233179794585	-0.13390769705946493
Arid5a	0.05785143595738514	0.4750734486345927	0.32493822278918777	0.3982896538840615
Arid5b	-0.028028047769752235	0.2855117762151439	0.0738344259952634	0.05829167483774917
Arntl	-0.05945090762768727	-0.2603258235461217	0.23343020159106667	0.36385680037947626
Arrb1	-0.030780887793000162	-0.047287499004196355	0.028401217848435106	0.12633379023891766
Asf1a	0.13245274472872828	-0.2312104957401231	-1.0558377811850264	-1.4484417133087577
Asf1b	-0.03247576634487525	0.07613051027829237	-0.06979058718616664	0.0971650857863977
Ash1l	-0.16278016694536554	0.42464728479253333	-0.06599673500740065	-0.07287782157995559
Ash2l	-0.43936332400009165	0.21106605952316082	-0.12938765605442934	0.3501867346337091
Asxl1	-0.005955439705426169	-0.13792230117187468	-0.0855477651945674	-0.018034429060746576
Asxl2	0.02032632235303759	0.04724731648327566	-0.2967063479906528	-0.3659795426579644
Asxl3	-0.08260098517802988	0.21507186705492112	0.11548788294051371	0.2318090855886288
Atad2	-0.2719435551687685	-0.5361305966498006	0.5453948765480745	0.49772515112086596
